"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.966884306E0,-9.589200020E0,-3.802740097E1,-3.686840057E1,5.382671216E1
2.976884306E0,-1.006499958E1,-3.788100052E1,-3.734420013E1,5.413745192E1
2.986884306E0,-1.027239990E1,-3.774679947E1,-3.725880051E1,5.402371040E1
2.996884306E0,-1.055299950E1,-3.783219910E1,-3.753939819E1,5.433090744E1
3.006884306E0,-1.049199963E1,-3.768579865E1,-3.729539871E1,5.404857298E1
3.016884306E0,-1.065059948E1,-3.762479782E1,-3.673419952E1,5.365130096E1
3.026884306E0,-1.101659966E1,-3.768579865E1,-3.686840057E1,5.385966810E1
3.036884306E0,-1.119960022E1,-3.771019745E1,-3.645359802E1,5.363165899E1
3.046884306E0,-1.110200024E1,-3.775899887E1,-3.584359741E1,5.323307130E1
3.056884306E0,-1.082139969E1,-3.789319992E1,-3.546540070E1,5.301690238E1
3.066884306E0,-1.111419964E1,-3.790539932E1,-3.508720016E1,5.283423461E1
3.076884306E0,-1.115079975E1,-3.800299835E1,-3.485540009E1,5.275857403E1
3.086884306E0,-1.160219955E1,-3.790539932E1,-3.472119904E1,5.269717255E1
3.096884306E0,-1.187059975E1,-3.762479782E1,-3.555080032E1,5.310740017E1
3.106884306E0,-1.162659931E1,-3.741740036E1,-3.557519913E1,5.292291049E1
3.116884306E0,-1.179739952E1,-3.727099991E1,-3.585580063E1,5.304662580E1
3.126884306E0,-1.188280010E1,-3.728319931E1,-3.606319809E1,5.321458583E1
3.136884306E0,-1.205359936E1,-3.708799744E1,-3.592900085E1,5.302548363E1
3.146884306E0,-1.227320004E1,-3.691719818E1,-3.642919922E1,5.329725618E1
3.156884306E0,-1.219999981E1,-3.678300095E1,-3.661219788E1,5.331305832E1
3.166884306E0,-1.200479984E1,-3.683179855E1,-3.705139923E1,5.360506309E1
3.176884306E0,-1.209019947E1,-3.680739975E1,-3.712459946E1,5.365811667E1
3.186884306E0,-1.223659992E1,-3.677079773E1,-3.695380020E1,5.354819598E1
3.196884306E0,-1.249279976E1,-3.674639893E1,-3.712459946E1,5.370850738E1
3.206884306E0,-1.266359997E1,-3.658779907E1,-3.752719879E1,5.391961104E1
3.216884306E0,-1.282219982E1,-3.645359802E1,-3.740520096E1,5.378124837E1
3.226884306E0,-1.246840000E1,-3.642919922E1,-3.760039902E1,5.381763243E1
